# Fractal dim =  1.000 
#           N     G/NpiR0^2            GC    Okuzumi+09     Paszun+09 
 3.794533e+05  8.387586e-01  1.000000e+00  5.226155e-01  6.899637e-01 
 4.010573e+05  8.387583e-01  1.000000e+00  5.213688e-01  6.895007e-01 
 4.238913e+05  8.387581e-01  1.000000e+00  5.201332e-01  6.890381e-01 
 4.480254e+05  8.387578e-01  1.000000e+00  5.189084e-01  6.885758e-01 
 4.735335e+05  8.387576e-01  1.000000e+00  5.176943e-01  6.881138e-01 
 5.004939e+05  8.387574e-01  1.000000e+00  5.164909e-01  6.876521e-01 
 5.289893e+05  8.387572e-01  1.000000e+00  5.152980e-01  6.871907e-01 
 5.591071e+05  8.387570e-01  1.000000e+00  5.141155e-01  6.867296e-01 
 5.909396e+05  8.387568e-01  1.000000e+00  5.129434e-01  6.862689e-01 
 6.245845e+05  8.387566e-01  1.000000e+00  5.117814e-01  6.858084e-01 
 6.601449e+05  8.387564e-01  1.000000e+00  5.106295e-01  6.853482e-01 
 6.977300e+05  8.387563e-01  1.000000e+00  5.094876e-01  6.848884e-01 
 7.374549e+05  8.387561e-01  1.000000e+00  5.083556e-01  6.844289e-01 
 7.794416e+05  8.387560e-01  1.000000e+00  5.072334e-01  6.839696e-01 
 8.238187e+05  8.387558e-01  1.000000e+00  5.061208e-01  6.835107e-01 
 8.707225e+05  8.387557e-01  1.000000e+00  5.050179e-01  6.830521e-01 
 9.202967e+05  8.387556e-01  1.000000e+00  5.039244e-01  6.825938e-01 
 9.726934e+05  8.387555e-01  1.000000e+00  5.028403e-01  6.821358e-01 
 1.028073e+06  8.387553e-01  1.000000e+00  5.017656e-01  6.816781e-01 
 1.086606e+06  8.387552e-01  1.000000e+00  5.007000e-01  6.812208e-01 
 1.148472e+06  8.387551e-01  1.000000e+00  4.996435e-01  6.807637e-01 
 1.213859e+06  8.387550e-01  1.000000e+00  4.985960e-01  6.803069e-01 
 1.282970e+06  8.387549e-01  1.000000e+00  4.975575e-01  6.798505e-01 
 1.356015e+06  8.387548e-01  1.000000e+00  4.965278e-01  6.793943e-01 
 1.433219e+06  8.387547e-01  1.000000e+00  4.955069e-01  6.789385e-01 
 1.514819e+06  8.387547e-01  1.000000e+00  4.944946e-01  6.784829e-01 
 1.601064e+06  8.387546e-01  1.000000e+00  4.934909e-01  6.780277e-01 
